,CaseNo,Prompt_count,Word_Count,unique_word_count,Prompt_readability,Response_readability,lexical_diversity_index
0,1,11,130,74,67.76,54.12,-0.7838095068017936
1,3,9,108,65,76.11,44.44,-1.1908666118380482
2,6,10,270,135,87.11,59.19,0.18019650345451918
3,7,6,117,83,83.25,62.88,1.1468460109442633
4,8,7,74,52,96.89,66.84,-0.06543626220819625
5,9,7,224,122,67.15,62.78,0.2635394380601708
6,10,16,300,138,77.87,53.51,0.11380970623559734
7,11,10,106,60,87.42,63.49,-0.2732504809994514
8,12,6,56,39,78.96,58.89,-0.6598537663898508
9,13,6,126,50,73.71,60.55,-1.9374246656798142
10,14,16,167,96,86.1,56.96,0.32413950758154636
11,15,13,322,162,76.42,68.87,0.69068396748986
12,16,6,118,80,64.71,65.93,1.1179726350299306
13,17,11,244,107,71.75,56.76,-0.9148829105943393
14,18,10,177,98,77.13,61.53,0.3970913272105358
15,19,15,292,161,72.66,56.25,1.415215889955251
16,20,10,169,111,61.63,61.36,1.3859631730525468
17,21,11,107,56,78.25,57.67,-1.5018977540558864
18,22,15,204,113,79.06,54.02,-0.009548114856861281
19,23,9,65,46,88.13,56.59,-0.8688348841968581
20,24,7,93,66,60.72,53.1,0.6844002156122825
21,25,10,156,86,77.84,60.85,0.375213644928978
22,26,15,165,77,88.23,56.05,-1.2626569515369106
23,31,36,156,102,82.81,57.87,0.8230801606611712
24,32,8,59,42,55.3,66.64,-1.6604410887872973
25,34,10,96,72,71.0,51.58,1.1614522089157255
26,36,9,140,73,81.12,65.32,-0.3911403272366753
27,38,13,299,170,77.13,49.35,1.2384041058619093
28,40,16,459,191,77.13,54.22,0.3272488702147678
29,41,10,124,72,96.08,56.32,-0.5036444698912432
30,42,8,85,59,87.11,64.71,0.3784304298642375
