,Column,Non-Null Count,Dtype
0,0,age_group,object
1,1,gender,object
2,2,highest_education,object
3,3,employment_status,object
4,4,computing_proficiency,object
5,5,prior_ai_experience,object
6,6,ai_usage_capacity,object
7,7,liked_most,object
8,8,challenges_faced,object
9,9,suggestions,object
10,10,Participant,object
11,11,EEX,float64
12,12,SOI,float64
13,13,TRU,float64
14,14,SEF,float64
15,15,PEX,float64
16,16,ITU,int64
17,17,SAT,int64
18,18,UX,float64
19,19,Prompt_count,int64
20,20,Word_Count,int64
21,21,Average_Words_per_Prompt,float64
22,22,unique_word_count,int64
23,23,Prompt_readability,float64
24,24,Response_readability,float64
25,25,lexical_diversity_index,float64
26,26,Error_Count,int64
27,27,Errors_per_,float64
28,28,Clear,int64
29,29,Specific,int64
30,30,Contextually,int64
31,31,Direct,int64
32,32,Task-Oriented,int64
33,33,Concise,int64
34,34,Advanced,int64
35,35,Total,int64
36,36,Group,object
37,dtypes:,"float64(11),",object(12)
38,memory,usage:,KB
